[STREAM] WebSocket server on ws://localhost:8089
[TWS] Connecting to TWS...
[TICK] SOFI type=68 price=20.71
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.69
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.67
[TICK] T type=68 price=27.24
[TICK] NU type=68 price=17.23
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.66
[TICK] F type=68 price=13.94
[TICK] NU type=68 price=17.22
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.64
[TICK] SOFI type=73 price=20.63
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.65
[TICK] SOFI type=73 price=20.62
[TICK] SOFI type=73 price=20.61
[TICK] SOFI type=68 price=20.62
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.23
[TICK] SOFI type=73 price=20.59
[TICK] SOFI type=68 price=20.61
[TICK] F type=68 price=13.94
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.6
[TICK] SOFI type=73 price=20.58
[TICK] T type=68 price=27.22
[TICK] F type=68 price=13.93
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.59
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.6
[TICK] T type=68 price=27.22
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.62
[TICK] NU type=68 price=17.25
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.59
[TICK] SOFI type=73 price=20.57
[TICK] F type=68 price=13.92
[TICK] SOFI type=68 price=20.58
[TICK] F type=68 price=13.93
[TICK] SOFI type=68 price=20.57
[TICK] F type=68 price=13.92
[TICK] SOFI type=73 price=20.55
[TICK] SOFI type=68 price=20.59
[TICK] T type=68 price=27.21
[TICK] NU type=68 price=17.24
[TICK] SOFI type=68 price=20.6
[TICK] F type=68 price=13.93
[TICK] F type=68 price=13.94
[TICK] SOFI type=68 price=20.61
[TICK] T type=68 price=27.2
[TICK] SOFI type=68 price=20.6
[TICK] F type=68 price=13.93
[TICK] T type=68 price=27.21
[TICK] SOFI type=68 price=20.58
[TICK] NU type=68 price=17.23
[TICK] SOFI type=68 price=20.56
[TICK] NU type=68 price=17.22
[TICK] T type=68 price=27.22
[TICK] SOFI type=73 price=20.54
[TICK] SOFI type=68 price=20.55
[TICK] NU type=68 price=17.21
[TICK] NU type=68 price=17.2
[TICK] F type=68 price=13.92
[TICK] NU type=68 price=17.19
[TICK] NU type=68 price=17.2
[TICK] SOFI type=73 price=20.53
[TICK] SOFI type=68 price=20.54
[TICK] F type=68 price=13.91
[TICK] SOFI type=68 price=20.53
[TICK] T type=68 price=27.21
[TICK] SOFI type=73 price=20.51
[TICK] SOFI type=68 price=20.51
[TICK] SOFI type=68 price=20.53
[TICK] NU type=68 price=17.21
[TICK] SOFI type=68 price=20.49
[TICK] SOFI type=73 price=20.49
[TICK] T type=68 price=27.2
[TICK] SOFI type=73 price=20.48
[TICK] NU type=68 price=17.2
[TICK] SOFI type=68 price=20.48
[TICK] T type=68 price=27.22
[TICK] SOFI type=68 price=20.5
[TICK] NU type=68 price=17.21
[TICK] F type=68 price=13.9
[TICK] SOFI type=68 price=20.49
[TICK] SOFI type=68 price=20.48
[TICK] NU type=68 price=17.2
[TICK] SOFI type=73 price=20.47
[TICK] T type=68 price=27.21
[TICK] T type=68 price=27.22
[TICK] SOFI type=68 price=20.49
[TICK] NU type=68 price=17.23
[TICK] T type=68 price=27.21
[TICK] SOFI type=68 price=20.48
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.46
[TICK] SOFI type=73 price=20.46
[TICK] T type=68 price=27.23
[TICK] SOFI type=73 price=20.44
[TICK] SOFI type=68 price=20.44
[TICK] SOFI type=68 price=20.47
[TICK] T type=68 price=27.24
[TICK] SOFI type=68 price=20.48
[TICK] SOFI type=68 price=20.47
[TICK] T type=68 price=27.23
[TICK] SOFI type=68 price=20.45
[TICK] SOFI type=73 price=20.43
[TICK] T type=68 price=27.24
[TICK] NU type=68 price=17.21
[TICK] SOFI type=68 price=20.44
[TICK] T type=68 price=27.23
[TICK] NU type=68 price=17.22
[TICK] SOFI type=68 price=20.45
[TICK] F type=68 price=13.89
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.44
[TICK] T type=68 price=27.24
[TICK] NU type=68 price=17.21
[TICK] SOFI type=68 price=20.43
[TICK] F type=68 price=13.88
[TICK] NU type=68 price=17.22
[TICK] SOFI type=73 price=20.42
[TICK] SOFI type=73 price=20.41
[TICK] F type=68 price=13.89
[TICK] F type=68 price=13.88
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.42
[TICK] F type=68 price=13.89
[TICK] SOFI type=68 price=20.41
[TICK] SOFI type=73 price=20.38
[TICK] SOFI type=73 price=20.37
[TICK] SOFI type=68 price=20.39
[TICK] NU type=68 price=17.21
[TICK] T type=68 price=27.26
[TICK] NU type=68 price=17.22
[TICK] F type=68 price=13.87
[TICK] SOFI type=68 price=20.38
[TICK] NU type=68 price=17.2
[TICK] SOFI type=68 price=20.42
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.21
[TICK] NU type=68 price=17.2
[TICK] F type=68 price=13.88
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.19
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.87
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.17
[TICK] F type=68 price=13.88
[TICK] SOFI type=68 price=20.39
[TICK] T type=68 price=27.28
[TICK] NU type=68 price=17.18
[TICK] NU type=68 price=17.17
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.87
[TICK] T type=68 price=27.27
[TICK] SOFI type=68 price=20.39
[TICK] T type=68 price=27.26
[TICK] SOFI type=68 price=20.37
[TICK] T type=68 price=27.27
[TICK] NU type=68 price=17.18
[TICK] SOFI type=68 price=20.38
[TICK] F type=68 price=13.89
[TICK] SOFI type=68 price=20.39
[TICK] T type=68 price=27.25
[TICK] SOFI type=68 price=20.4
[TICK] F type=68 price=13.87
[TICK] NU type=68 price=17.17
[TICK] SOFI type=68 price=20.39
[TICK] NU type=68 price=17.15
[TICK] SOFI type=68 price=20.38
[TICK] SOFI type=73 price=20.36
[TICK] SOFI type=68 price=20.37
[TICK] SOFI type=73 price=20.35
[TICK] NU type=68 price=17.14
[TICK] NU type=68 price=17.13
[TICK] F type=68 price=13.88
[TICK] T type=68 price=27.26
[TICK] NU type=68 price=17.14
[TICK] T type=68 price=27.27
[TICK] F type=68 price=13.89
[TICK] SOFI type=68 price=20.38
[TICK] NU type=68 price=17.11
[TICK] SOFI type=68 price=20.36
[TICK] T type=68 price=27.26
[TICK] SOFI type=68 price=20.35
[TICK] NU type=68 price=17.12
[TICK] SOFI type=68 price=20.38
[TICK] F type=68 price=13.9
